row,item,size,batch,expiration,totalIn,outQty,stock,productStatus,monthsUntilExpiration,ref,arrivalDate,origin,prodDate,mfg
33,SSB,1 gal,110-240312,2025-12-09,808.0,531.0,277.0,Expired,-9,721645,2024-03-05,Coastal Contract,2024-12-03,LV
38,SSB,1 gal,117-240319,2025-09-19,563.0,520.0,43.0,Expired,-9,721650,2024-03-05,Coastal Contract,2024-03-19,LV
56,SSB,2.5 gal,200-240711,2026-11-01,114.0,109.0,5.0,Expired,-5,721949,2024-08-13,Coastal Contract,2024-11-07,LV
57,SSB,2.5 gal,206-240807,2026-07-02,112.0,105.0,7.0,Expired,-5,SO-1206,2024-08-27,Micro-TES,2024-07-08,EV
58,SSB,2.5 gal,208-240812,2026-12-02,104.0,96.0,8.0,Expired,-4,SO-1206,2024-08-27,Micro-TES,2024-12-08,EV
61,SSB,2.5 gal,227-240903,2026-03-03,72.0,58.0,14.0,Expired,-4,SO-1227,2024-11-09,Micro-TES,2024-03-09,EV
66,SSB,2.5 gal,222-240828,2026-02-28,288.0,283.0,5.0,Expired,-4,Coastal SO-4967,2024-10-16,Coastal Contract,2024-08-28,LV
67,SSB,2.5 gal,235-240911,2026-11-03,458.0,438.0,20.0,Expired,-3,Coastal SO-4967,2024-10-18,Coastal Contract,2024-11-09,LV
68,SSB,2.5 gal,179-240603,2025-03-12,40.0,34.0,6.0,Expired,-7,Coastal SO-4967,2024-10-18,Coastal Contract,2024-03-06,LV
69,SSB,2.5 gal,222-240828,2026-02-28,6.0,0.0,6.0,Expired,-4,Coastal SO-4967,2024-10-18,Coastal Contract,2024-08-28,LV
70,SOS,1 gal,237-240917,2026-03-17,288.0,235.0,53.0,Expired,-3,SO-1238,2024-10-18,Micro-TES,2024-09-17,EV
71,SSB,2.5 gal,222-240828,2026-02-28,288.0,286.0,2.0,Expired,-4,Coastal SO-4967,2024-10-17,Coastal Contract,2024-08-28,LV
76,SSB,1 gal,261-241028,2026-04-28,288.0,285.0,3.0,Expired,-2,SO-1272,2024-11-22,Micro-TES,2024-10-28,EV
77,SOILPRO,1 gal,277-241121,2026-05-21,288.0,122.0,166.0,Expired,-1,SO-1292,2024-09-12,Micro-TES,2024-11-21,EV
79,SSB,2.5 gal,258-241021,2026-04-21,288.0,238.0,50.0,Expired,-2,INV#722344,2025-01-23,Coastal Contract,2024-10-21,LV
80,SSB,2.5 gal,258-241021,2026-04-21,270.0,237.0,33.0,Expired,-2,INV#722349,2025-01-23,Coastal Contract,2024-10-21,LV
82,SSB,1 gal,267-241101,2026-01-05,21.0,17.0,4.0,Expired,-2,INV#722359,2025-01-28,Coastal Contract,2024-01-11,LV
84,SOS,1 gal,295-250203,2026-03-08,288.0,86.0,202.0,Shelf life Less than 9  months,0,SO-1335,2025-12-02,Micro-TES,2025-03-02,EV
87,SOS,2.5 gal,299-250211,2026-11-08,144.0,84.0,60.0,Shelf life Less than 9  months,1,SO-1348 PS-1,2025-03-13,Micro-TES,2025-11-02,EV
88,SOILPRO,2.5 gal,300-250217,2026-08-17,660.0,657.0,3.0,Shelf life Less than 9  months,1,INV# 722504 & 09,2025-03-25,Coastal Contract,2025-02-17,LV
90,SOILPRO,2.5 gal,309-250304,2026-04-09,46.0,6.0,40.0,Shelf life Less than 9  months,1,SO-1347 PS-2,2025-03-24,Micro-TES,2025-04-03,EV
91,SOILPRO,2.5 gal,313-250304,2026-04-09,26.0,0.0,26.0,Shelf life Less than 9  months,1,SO-1347 PS-2,2025-03-24,Micro-TES,2025-04-03,EV
92,SOS,2.5 gal,303-250225,2026-08-25,1112.0,1080.0,32.0,Shelf life Less than 9  months,1,722525,2025-01-04,Coastal Contract,2025-02-25,LV
93,SOILPRO,1 gal,297-250210,2026-10-08,1102.0,432.0,670.0,Shelf life Less than 9  months,1,722530,2025-02-04,Coastal Contract,2025-10-02,LV
97,SOS,1 gal,298-250211,2026-11-08,1104.0,664.0,440.0,Shelf life Less than 9  months,1,722558,2025-08-04,Coastal Contract,2025-11-02,LV
105,SSB,1 gal,356-250528,2026-11-28,1097.0,420.0,677.0,Shelf life Less than 9  months,4,722789/722793,2025-02-07,Coastal Contract,2025-05-28,LV
106,SSB,2.5 gal,349-250514,2026-11-14,1111.0,1101.0,10.0,Shelf life Less than 9  months,4,722794/97/801/802,2025-07-07,Coastal Contract,2025-05-14,LV
115,S-molasses CA,32 oz,8638-250519,2028-05-19,1118.0,1092.0,26.0,OK,22,Inv. 722982,2025-09-24,Coastal Contract,2025-05-19,LV
119,SSB,2.5 gal,407-250930,2027-03-30,1760.0,1726.0,34.0,Shelf life Less than 9  months,8,Inv. 723058/59/65/66,2025-10-27,COastal Contract,2025-09-30,LV
129,SSB,2.5 gal,465-251209,2027-09-06,1903.0,774.0,1129.0,OK,11,202/4/5/8/10/13/14,2026-01-14,Coastal Contract,2025-09-12,LV
130,S-Molasses CA,1 gal,9015-251009,2028-09-10,770.0,0.0,770.0,OK,27,723279/723286,2026-09-02,Coastal Contract,2025-09-10,LV
131,SSB,2.5 gal,487-260105,2027-06-07,1805.0,146.0,1659.0,OK,11,91/96/98/00/01,2026-11-02,Coastal Contract,2026-05-01,LV
132,S-Molasses CA,32 oz,8506-250411,2028-11-04,972.0,2.0,970.0,OK,21,SO-1651,2026-02-13,Micro-TES,2025-11-04,EV
